Episode	Rating	Year	Season
Winter is Coming	9	2011	1
The Kingsroad	8.7	2011	1
Jon Snow	8.6	2011	1
Cripples, Bastards, and Broken Things	8.7	2011	1
The Wolf and the Lion	9	2011	1
A Golden Crown	9.1	2011	1
You Win or You Die	9.2	2011	1
The Pointy End	9	2011	1
Baelor	9.6	2011	1
Fire and Blood	9.5	2011	1
The North Remembers	8.7	2012	2
The Night Lands	8.5	2012	2
What is Dead May Never Die	8.8	2012	2
Garden of Bones	8.7	2012	2
The Ghost of Harrenhal	8.7	2012	2
The Old Gods and the New	9	2012	2
A Man Without Honor	8.9	2012	2
The Prince of Winterfell	8.7	2012	2
Blackwater	9.7	2012	2
Valar Morghulis	9.4	2012	2
Valar Dohaeris	8.7	2013	3
Dark Wings, Dark Words	8.5	2013	3
Walk of Punishment	8.8	2013	3
And Now His Watch is Ended	9.5	2013	3
Kissed By Fire	9	2013	3
The Climb	8.8	2013	3
The Bear and The Maiden Fair	8.7	2013	3
Second Sons	9	2013	3
The Rains of Castamere	9.9	2013	3
Mhysa	9.1	2013	3
Two Swords	9	2014	4
The Lion and the Rose	9.7	2014	4
Breaker of Chains	8.8	2014	4
Oathkeeper	8.8	2014	4
First of His Name	8.7	2014	4
The Laws of Gods and Men	9.7	2014	4
Mockingbird	9.1	2014	4
The Mountain and The Viper	9.7	2014	4
The Watchers on the Wall	9.6	2014	4
The Children	9.7	2014	4
The Wars to Come	8.4	2015	5
The House of Black and White	8.5	2015	5
High Sparrow	8.5	2015	5
Sons of the Harpy	8.6	2015	5
Kill the Boy	8.6	2015	5
Unbowed, Unbent, Unbroken	8	2015	5
The Gift	8.9	2015	5
Hardhome	9.8	2015	5
The Dance of Dragons	9.4	2015	5
Mother's Mercy	9.1	2015	5
The Red Woman	8.5	2016	6
Home	9.3	2016	6
Oathbreaker	8.7	2016	6
Book of the Stranger	9.1	2016	6
The Door	9.7	2016	6
Blood of My Blood	8.4	2016	6
The Broken Man	8.5	2016	6
No One	8.4	2016	6
Battle of the Bastards	9.9	2016	6
The Winds of Winter	9.9	2016	6
Dragonstone	8.6	2017	7
Stormborn	8.9	2017	7
The Queen's Justice	9.2	2017	7
The Spoils of War	9.7	2017	7
Eastwatch	8.8	2017	7
Beyond the Wall	9.1	2017	7
The Dragon and the Wolf	9.4	2017	7
Winterfell	7.6	2019	8
A Knight of the Seven Kingdoms	7.8	2019	8
The Long Night	7.5	2019	8
The Last of the Starks	5.5	2019	8
The Bells	6	2019	8
The Iron Throne	4	2019	8